Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,353,Wed Oct 29 00:14:04 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,354,Wed Oct 29 00:14:04 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,355,Wed Oct 29 00:14:05 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,356,Wed Oct 29 00:14:05 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,357,Wed Oct 29 00:14:05 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,358,Wed Oct 29 00:14:05 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,5,154,169,Low,false,JSON
Processed,359,Wed Oct 29 00:14:05 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,10,156,16054,Low,false,
Processed,360,Wed Oct 29 00:14:05 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,7,156,16054,Low,false,"Comment, JSON"
Processed,361,Wed Oct 29 00:14:05 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,6,243,100,,false,
Processed,362,Wed Oct 29 00:14:06 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,10,156,16054,Low,false,"Comment, JSON"
Processed,363,Wed Oct 29 00:14:06 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,6,243,100,,false,
Processed,364,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,11,156,16054,Low,false,"Comment, JSON"
Processed,365,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,11,304,734,Medium,false,
Processed,366,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,13,306,152059,Low,false,"Password, Upload, Comment"
Processed,367,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,17,313,230777,Low,false,
Processed,368,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,9,303,202,Low,false,
Processed,369,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,18,335,612,Low,false,
Processed,370,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,24,314,1418005,High,false,
Out of Scope,371,Wed Oct 29 00:14:07 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,372,Wed Oct 29 00:14:07 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,373,Wed Oct 29 00:14:07 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,374,Wed Oct 29 00:14:07 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,375,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,376,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169,Low,false,JSON
Processed,377,Wed Oct 29 00:14:07 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,10,156,16054,Low,false,"Comment, JSON"
Processed,378,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,18,304,734,Medium,false,
Out of Scope,379,Wed Oct 29 00:14:10 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,380,Wed Oct 29 00:14:10 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,381,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,17,306,152059,Low,false,
Out of Scope,382,Wed Oct 29 00:14:10 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,383,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,6,335,612,Low,false,
Out of Scope,384,Wed Oct 29 00:14:10 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,385,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,16,303,202,Low,false,
Processed,386,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,23,313,230777,Low,false,
Processed,387,Wed Oct 29 00:14:10 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,39,314,1418005,High,false,
Processed,388,Wed Oct 29 00:14:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,25,304,665,Low,false,
Processed,389,Wed Oct 29 00:14:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,8,154,169,Low,false,JSON
Processed,390,Wed Oct 29 00:14:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,17,156,16054,Low,false,"Comment, JSON"
Processed,391,Wed Oct 29 00:14:11 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,7,156,16054,Low,false,"Comment, JSON"
